claim_id,person_id,age,sex,state,benefit_type,years_contributed,prior_claim_count,prior_denial_count,overpayment_flag,has_representative,filing_channel,employment_status,suspicious_ip_flag,bank_country_match_flag,doc_inconsistency_count,days_since_last_claim,claim_amount,monthly_benefit,is_fraud
CLM100000,PID50000,69,M,OH,Retirement,27,1,0,0,0,Phone,Unemployed,0,1,0,2806,1953.0,79.64,0
CLM100001,PID50001,32,F,LA,Retirement,25,2,0,0,0,Mail,Employed,0,1,0,1853,1378.01,128.47,0
CLM100002,PID50002,89,M,VA,Retirement,12,0,0,0,1,Mail,Employed,0,1,0,1647,1316.82,61.07,0
CLM100003,PID50003,78,F,IL,Disability,30,2,1,0,0,FieldOffice,Employed,0,1,0,2459,1348.02,46.48,0
CLM100004,PID50004,38,F,GA,Retirement,34,2,0,0,0,FieldOffice,Retired,0,1,1,696,1921.54,100.71,0
CLM100005,PID50005,41,M,OH,Retirement,29,2,0,0,0,Online,Retired,0,1,0,1733,1020.53,30.11,0
CLM100006,PID50006,20,M,NY,Retirement,10,1,0,0,0,Mail,Employed,0,1,0,3564,497.58,18.89,0
CLM100007,PID50007,39,M,NJ,Disability,13,1,0,0,1,Mail,Retired,0,0,2,1690,1194.68,99.46,0
CLM100008,PID50008,70,M,CA,Survivors,18,1,1,0,1,Online,Retired,0,1,1,3113,1223.53,92.48,0
CLM100009,PID50009,19,M,IL,Disability,38,0,0,0,1,Phone,Disabled,0,1,0,2303,1149.54,72.1,0
CLM100010,PID50010,47,M,AZ,Retirement,26,0,0,0,0,Online,Disabled,0,1,0,3483,754.07,23.67,0
CLM100011,PID50011,55,M,NJ,Disability,5,0,0,0,1,FieldOffice,Retired,0,1,1,672,827.59,27.13,0
CLM100012,PID50012,19,M,VA,Retirement,45,4,0,0,1,Online,Disabled,0,1,0,2902,2188.1,83.46,0
CLM100013,PID50013,81,F,NC,Retirement,40,0,0,0,0,FieldOffice,Disabled,1,0,0,1276,1823.63,63.97,1
CLM100014,PID50014,77,M,VA,Survivors,14,1,0,0,1,FieldOffice,Employed,0,1,1,2603,791.98,25.48,0
CLM100015,PID50015,38,F,IL,Disability,21,0,0,0,1,Online,Retired,0,1,0,1321,946.12,33.69,0
CLM100016,PID50016,50,F,OH,Retirement,22,4,2,0,0,Online,Retired,0,1,0,3159,659.95,31.3,0
CLM100017,PID50017,75,F,AZ,Retirement,30,0,0,0,1,Online,Retired,0,1,1,129,903.7,53.65,0
CLM100018,PID50018,39,M,CA,Retirement,27,2,0,0,0,FieldOffice,Disabled,0,1,0,193,1182.21,36.4,0
